IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.18.70.51,4,4,0.00,156.16,0.57
104.18.244.158,4,4,0.00,171.30,0.56
104.18.245.136,4,4,0.00,171.04,0.56
104.17.118.47,4,4,0.00,84.19,0.55
104.17.99.164,4,4,0.00,83.42,0.55
104.18.249.32,4,4,0.00,80.71,0.55
104.17.97.115,4,4,0.00,81.92,0.55
104.17.98.4,4,4,0.00,80.73,0.53
104.17.96.230,4,4,0.00,80.16,0.00
