IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
13.230.34.30,4,4,0.00,121.41,0.00,NRT
18.183.158.211,4,4,0.00,146.01,0.00,NRT
8.219.170.223,4,4,0.00,160.24,0.00,SIN
