IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.195.220,4,4,0.00,82.91,18.06
104.18.47.221,4,4,0.00,77.53,12.67
104.18.43.38,4,4,0.00,86.07,9.01
104.19.32.39,4,4,0.00,87.93,7.94
104.19.153.66,4,4,0.00,87.98,6.03
104.16.244.228,4,4,0.00,88.15,5.73
104.19.33.6,4,4,0.00,87.87,5.10
104.18.39.216,4,4,0.00,86.42,4.82
104.18.35.216,4,4,0.00,79.94,4.08
104.18.33.82,4,4,0.00,81.84,3.77
