IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
8.212.12.98,4,4,0.00,31.43,0.00
47.242.218.87,4,4,0.00,57.55,0.00
47.74.155.26,4,4,0.00,69.61,0.00
8.219.97.248,4,4,0.00,126.07,0.00
